datetime;nom;count;kilometre parcourus;temps en minutes;-100km;100-150km;150-200km;200-250km;250-300km;+ de 300km
03/07/2023;xg69dpm56d;32;46;737;1;0;0;0;0;0
;xl96smp7E96;31;73;660;1;0;0;0;0;0
;x85pMRtg89;16;25;353;1;0;0;0;0;0
;xP662IY9mp;25;201;660;0;0;0;1;0;0
;x32oE78F97;8;35;653;1;0;0;0;0;0
;x6pqTg88l7;39;110;772;0;1;0;0;0;0
;x12vgD8JS6;21;168;622;0;0;1;0;0;0
;xW336S9f74;3;7;82;1;0;0;0;0;0
04/07/2023;xg69dpm56d;20;168;754;0;0;1;0;0;0
;xl96smp7E96;17;23;534;1;0;0;0;0;0
;x85pMRtg89;23;42;799;1;0;0;0;0;0
;xP662IY9mp;32;159;585;0;0;1;0;0;0
;x32oE78F97;7;51;449;1;0;0;0;0;0
;x6pqTg88l7;35;99;1350;1;0;0;0;0;0
;x12vgD8JS6;36;265;619;0;0;0;0;1;0
05/07/2023;xg69dpm56d;49;253;740;0;0;0;0;1;0
;xl96smp7E96;32;149;672;0;1;0;0;0;0
;x85pMRtg89;39;117;856;0;1;0;0;0;0
;xP662IY9mp;21;45;1092;1;0;0;0;0;0
;x6pqTg88l7;32;27;818;1;0;0;0;0;0
;x12vgD8JS6;42;224;610;0;0;0;1;0;0
06/07/2023;xg69dpm56d;17;92;582;1;0;0;0;0;0
;xl96smp7E96;5;11;437;1;0;0;0;0;0
;x85pMRtg89;34;56;631;1;0;0;0;0;0
;xP662IY9mp;29;171;794;0;0;1;0;0;0
;x6pqTg88l7;49;39;786;1;0;0;0;0;0
;x12vgD8JS6;18;45;674;1;0;0;0;0;0
;xW336S9f74;12;75;620;1;0;0;0;0;0
07/07/2023;xg69dpm56d;42;237;702;0;0;0;1;0;0
;xl96smp7E96;36;127;678;0;1;0;0;0;0
;xP662IY9mp;22;105;615;0;1;0;0;0;0
;x32oE78F97;12;52;489;1;0;0;0;0;0
;x12vgD8JS6;12;95;199;1;0;0;0;0;0
;xW336S9f74;11;75;545;1;0;0;0;0;0
10/07/2023;xg69dpm56d;51;332;810;0;0;0;0;0;1
;xl96smp7E96;30;145;707;0;1;0;0;0;0
;x85pMRtg89;18;40;668;1;0;0;0;0;0
